//															
// File: C:\Users\OpenTrack\Desktop\RER3\CS1 Network\NetworkTimetable0727_Weekend.txt															
//															
// Produced by OpenTrack: Fri Jul 28 14:43:58 2023															
// Timetable (Import/Export)															
// Type    : OT_Text															
// Desc.   : OT_tt_ie															
// x-Legend: none															
// y-Legend: none															
//															
// Timetable Entries:															
// courseID 	intervalCourseID 	timeToIntervalReference 	stationIndex 	stationSign 	trackName 	arrTimeDayOffset 	arrTime 	depTimeDayOffset 	depTime 	useDepTime 	dwell 	stopAtStation 	meanDelay 	Distribution 	deltaMass
//															
1100.2	0	0	0	Oakville Station		1	HH:MM:SS	1	5:20:54	1	0	1	0		0
1100.2	0	0	1	Oakville Chartwell Road		1	HH:MM:SS	1	5:23:00	1	0	0	0		0
1100.2	0	0	2	Charnwood Co		1	HH:MM:SS	1	5:25:06	1	0	0	0		0
1100.2	0	0	3	Clearview Loop		1	HH:MM:SS	1	5:25:42	1	0	0	0		0
1100.2	0	0	4	Clarkson Park		1	HH:MM:SS	1	5:26:18	1	0	0	0		0
1100.2	0	0	5	Clarkson Station		1	5:27:24	1	5:28:24	1	60	1	0		0
1100.2	0	0	6	Renshaw Ct		1	HH:MM:SS	1	5:32:48	1	0	0	0		0
1100.2	0	0	7	Port Credit Station		1	5:33:54	1	5:34:54	1	60	1	0		0
1100.2	0	0	8	Long Branch Station		1	5:40:12	1	5:41:12	1	60	1	0		0
1100.2	0	0	9	Laburnham Park Junction West		1	HH:MM:SS	1	5:44:00	1	0	0	0		0
1100.2	0	0	10	Laburnham Park Junction		1	HH:MM:SS	1	5:44:12	1	0	0	0		0
1100.2	0	0	11	Kipling Avenue		1	HH:MM:SS	1	5:44:36	1	0	0	0		0
1100.2	0	0	12	Mimico Station		1	5:46:42	1	5:47:42	1	60	1	0		0
1100.2	0	0	13	Park Lawn Station		1	HH:MM:SS	1	5:49:42	1	0	0	0		0
1100.2	0	0	14	Exhibition Station		1	5:53:48	1	5:54:48	1	60	1	0		0
1100.2	0	0	15	Strachan Avenue		1	HH:MM:SS	1	5:56:18	1	0	0	0		0
1100.2	0	0	16	Bathurst St. Interlocking		1	HH:MM:SS	1	5:57:06	1	0	0	0		0
1100.2	0	0	17	Union Station		1	6:00:54	1	HH:MM:SS	1	0	1	0		0
1101.2	0	0	0	Union Station		1	HH:MM:SS	1	6:28:42	1	0	1	0		0
1101.2	0	0	1	Bathurst St. Interlocking		1	HH:MM:SS	1	6:33:54	1	0	0	0		0
1101.2	0	0	2	Strachan Avenue		1	HH:MM:SS	1	6:35:18	1	0	0	0		0
1101.2	0	0	3	Exhibition Station		1	6:36:24	1	6:37:24	1	60	1	0		0
1101.2	0	0	4	Park Lawn Station		1	HH:MM:SS	1	6:42:24	1	0	0	0		0
1101.2	0	0	5	Mimico Station		1	6:43:42	1	6:44:42	1	60	1	0		0
1101.2	0	0	6	Kipling Avenue		1	HH:MM:SS	1	6:47:48	1	0	0	0		0
1101.2	0	0	7	Laburnham Park Junction		1	HH:MM:SS	1	6:48:12	1	0	0	0		0
1101.2	0	0	8	Laburnham Park Junction West		1	HH:MM:SS	1	6:48:18	1	0	0	0		0
1101.2	0	0	9	Long Branch Station		1	6:50:00	1	6:51:00	1	60	1	0		0
1101.2	0	0	10	Port Credit Station		1	6:56:00	1	6:57:00	1	60	1	0		0
1101.2	0	0	11	Renshaw Ct		1	HH:MM:SS	1	6:58:48	1	0	0	0		0
1101.2	0	0	12	Clarkson Station		1	7:03:06	1	7:04:06	1	60	1	0		0
1101.2	0	0	13	Clarkson Park		1	HH:MM:SS	1	7:06:12	1	0	0	0		0
1101.2	0	0	14	Clearview Loop		1	HH:MM:SS	1	7:07:06	1	0	0	0		0
1101.2	0	0	15	Charnwood Co		1	HH:MM:SS	1	7:07:48	1	0	0	0		0
1101.2	0	0	16	Oakville Chartwell Road		1	HH:MM:SS	1	7:09:36	1	0	0	0		0
1101.2	0	0	17	Oakville Station		1	7:10:54	1	HH:MM:SS	1	0	1	0		0
